STATISTIC,Statistic Label,MonthID,Month,AuthorityID,Licensing Authority,Type of Fuel,UNIT,CarCount
TEM27C01,New Private Cars,202101,2021 January,-,All licensing authorities,All fuel types,Number,16948
TEM27C01,New Private Cars,202101,2021 January,-,All licensing authorities,Petrol,Number,5557
TEM27C01,New Private Cars,202101,2021 January,-,All licensing authorities,Diesel,Number,5801
TEM27C01,New Private Cars,202101,2021 January,-,All licensing authorities,Other fuel types,Number,9
TEM27C01,New Private Cars,202101,2021 January,-,All licensing authorities,Petrol and electric hybrid,Number,3605
TEM27C01,New Private Cars,202101,2021 January,-,All licensing authorities,Electric,Number,739
TEM27C01,New Private Cars,202101,2021 January,-,All licensing authorities,Petrol or Diesel plug-in hybrid electric,Number,827
TEM27C01,New Private Cars,202101,2021 January,-,All licensing authorities,Diesel and electric hybrid,Number,410
TEM27C01,New Private Cars,202101,2021 January,1,Carlow,All fuel types,Number,249
TEM27C01,New Private Cars,202101,2021 January,1,Carlow,Petrol,Number,69
TEM27C01,New Private Cars,202101,2021 January,1,Carlow,Diesel,Number,118
TEM27C01,New Private Cars,202101,2021 January,1,Carlow,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,1,Carlow,Petrol and electric hybrid,Number,29
TEM27C01,New Private Cars,202101,2021 January,1,Carlow,Electric,Number,17
TEM27C01,New Private Cars,202101,2021 January,1,Carlow,Petrol or Diesel plug-in hybrid electric,Number,12
TEM27C01,New Private Cars,202101,2021 January,1,Carlow,Diesel and electric hybrid,Number,4
TEM27C01,New Private Cars,202101,2021 January,2,Cavan,All fuel types,Number,236
TEM27C01,New Private Cars,202101,2021 January,2,Cavan,Petrol,Number,48
TEM27C01,New Private Cars,202101,2021 January,2,Cavan,Diesel,Number,125
TEM27C01,New Private Cars,202101,2021 January,2,Cavan,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,2,Cavan,Petrol and electric hybrid,Number,42
TEM27C01,New Private Cars,202101,2021 January,2,Cavan,Electric,Number,10
TEM27C01,New Private Cars,202101,2021 January,2,Cavan,Petrol or Diesel plug-in hybrid electric,Number,8
TEM27C01,New Private Cars,202101,2021 January,2,Cavan,Diesel and electric hybrid,Number,3
TEM27C01,New Private Cars,202101,2021 January,3,Clare,All fuel types,Number,436
TEM27C01,New Private Cars,202101,2021 January,3,Clare,Petrol,Number,133
TEM27C01,New Private Cars,202101,2021 January,3,Clare,Diesel,Number,168
TEM27C01,New Private Cars,202101,2021 January,3,Clare,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,3,Clare,Petrol and electric hybrid,Number,95
TEM27C01,New Private Cars,202101,2021 January,3,Clare,Electric,Number,14
TEM27C01,New Private Cars,202101,2021 January,3,Clare,Petrol or Diesel plug-in hybrid electric,Number,12
TEM27C01,New Private Cars,202101,2021 January,3,Clare,Diesel and electric hybrid,Number,14
TEM27C01,New Private Cars,202101,2021 January,4,Donegal,All fuel types,Number,396
TEM27C01,New Private Cars,202101,2021 January,4,Donegal,Petrol,Number,108
